player,name,team,href
3001,Hamid Hassan,96,
46058,Shane McDermott,96,
11178,Ben Sears,13,/profiles/11178/ben-sears
5755,Gary Stead,13,
1396,Luke Ronchi,13,
46163,Shane Jurgensen,13,
12747,Josh Tongue,9,/profiles/12747/josh-tongue
8512,Jamie Overton,9,
12994,Samuel James Cook,9,
19636,Jacob Bethell,9,
13866,Sai Sudharsan,2,/profiles/13866/sai-sudharsan
8257,Karun Nair,2,/profiles/8257/karun-nair
8683,Shardul Thakur,2,/profiles/8683/shardul-thakur
10551,Prasidh Krishna,2,/profiles/10551/prasidh-krishna
9716,Abhimanyu Easwaran,2,
13217,Arshdeep Singh,2,
14701,Nitish Kumar Reddy,2,
24729,Harshit Rana,2,
11540,Jofra Archer,9,
6639,Liam Dawson,9,/profiles/6639/liam-dawson
14598,Anshul Kamboj,2,/profiles/14598/anshul-kamboj
11675,N Jagadeesan,2,
7952,Dimuth Karunaratne,5,/profiles/7952/dimuth-karunaratne
13682,Pathum Nissanka,5,/profiles/13682/pathum-nissanka
9494,Kusal Mendis,5,/profiles/9494/kusal-mendis
6245,Dinesh Chandimal,5,/profiles/6245/dinesh-chandimal
1629,Angelo Mathews,5,/profiles/1629/angelo-mathews
7872,Dhananjaya de Silva,5,/profiles/7872/dhananjaya-de-silva
10940,Kamindu Mendis,5,/profiles/10940/kamindu-mendis
9502,Ramesh Mendis,5,/profiles/9502/ramesh-mendis
11498,Prabath Jayasuriya,5,/profiles/11498/prabath-jayasuriya
10928,Lahiru Kumara,5,/profiles/10928/lahiru-kumara
10938,Asitha Fernando,5,/profiles/10938/asitha-fernando
39678,Milan Priyanath Rathnayake,5,
8413,Vishwa Fernando,5,
9495,Sadeera Samarawickrama,5,
10469,Jeffrey Vandersay,5,
11545,Oshada Fernando,5,
13675,Nishan Peiris,5,/profiles/13675/nishan-peiris
9582,Aiden Markram,11,/profiles/9582/aiden-markram
13070,Ryan Rickelton,11,/profiles/13070/ryan-rickelton
19243,Tristan Stubbs,11,/profiles/19243/tristan-stubbs
8583,Temba Bavuma,11,/profiles/8583/temba-bavuma
14265,David Bedingham,11,/profiles/14265/david-bedingham
11209,Kyle Verreynne,11,/profiles/11209/kyle-verreynne
11200,Wiaan Mulder,11,/profiles/11200/wiaan-mulder
14565,Marco Jansen,11,/profiles/14565/marco-jansen
9720,Keshav Maharaj,11,/profiles/9720/keshav-maharaj
9585,Kagiso Rabada,11,/profiles/9585/kagiso-rabada
9603,Lungi Ngidi,11,/profiles/9603/lungi-ngidi
11196,Tony de Zorzi,11,
9702,Dane Paterson,11,
11432,Senuran Muthusamy,11,
9576,Corbin Bosch,11,
6635,Usman Khawaja,4,/profiles/6635/usman-khawaja
10182,Marnus Labuschagne,4,/profiles/10182/marnus-labuschagne
12225,Cameron Green,4,/profiles/12225/cameron-green
2250,Steven Smith,4,/profiles/2250/steven-smith
8497,Travis Head,4,/profiles/8497/travis-head
8646,Beau Webster,4,/profiles/8646/beau-webster
9200,Alex Carey,4,/profiles/9200/alex-carey
8095,Pat Cummins,4,/profiles/8095/pat-cummins
7710,Mitchell Starc,4,/profiles/7710/mitchell-starc
7850,Nathan Lyon,4,/profiles/7850/nathan-lyon
6258,Josh Hazlewood,4,/profiles/6258/josh-hazlewood
52495,Sam Konstas,4,
8631,Scott Boland,4,
10637,Josh Inglis,4,
13141,Matthew Kuhnemann,4,
314,Hashim Amla,11,/profiles/314/hashim-amla
370,AB de Villiers,11,/profiles/370/ab-de-villiers
371,Ashwell Prince,11,/profiles/371/ashwell-prince
207,Graeme Smith,11,/profiles/207/graeme-smith
208,Mark Boucher,11,/profiles/208/mark-boucher
219,Jacques Rudolph,11,/profiles/219/jacques-rudolph
6667,Imran Tahir,11,/profiles/6667/imran-tahir
508,Dale Steyn,11,/profiles/508/dale-steyn
608,Morne Morkel,11,/profiles/608/morne-morkel
213,Jacques Kallis,11,/profiles/213/jacques-kallis
731,Vernon Philander,11,/profiles/731/vernon-philander
606,Paul Harris,11,
1689,Lonwabo Tsotsobe,11,
211,Jean-Paul Duminy,11,
138,Michael Clarke,4,/profiles/138/michael-clarke
1442,Ryan Harris,4,/profiles/1442/ryan-harris
1444,Peter Siddle,4,/profiles/1444/peter-siddle
38,Ricky Ponting,4,/profiles/38/ricky-ponting
496,Mitchell Johnson,4,/profiles/496/mitchell-johnson
563,Shaun Marsh,4,/profiles/563/shaun-marsh
1438,Phillip Hughes,4,/profiles/1438/phillip-hughes
158,Shane Watson,4,/profiles/158/shane-watson
159,Brad Haddin,4,/profiles/159/brad-haddin
4772,Michael Hussey,4,/profiles/4772/michael-hussey
7739,Trent Copeland,4,
7731,Michael Beer,4,
8119,Marchant de Lange,11,
585,Alviro Petersen,11,
105,Tillakaratne Dilshan,5,/profiles/105/tillakaratne-dilshan
1786,Tharanga Paranavitana,5,/profiles/1786/tharanga-paranavitana
104,Kumar Sangakkara,5,/profiles/104/kumar-sangakkara
101,Mahela Jayawardene,5,/profiles/101/mahela-jayawardene
307,Thilan Samaraweera,5,/profiles/307/thilan-samaraweera
1978,Kaushal Silva,5,/profiles/1978/kaushal-silva
2281,Thisara Perera,5,/profiles/2281/thisara-perera
277,Rangana Herath,5,/profiles/277/rangana-herath
1056,Chanaka Welegedara,5,/profiles/1056/chanaka-welegedara
222,Dilhara Fernando,5,/profiles/222/dilhara-fernando
6243,Lahiru Thirimanne,5,
1390,Ajantha Mendis,5,
6730,Nuwan Pradeep,5,
1785,Suranga Lakmal,5,
516,Dhammika Prasad,5,
507,Nuwan Kulasekara,5,
8166,Kanishka Alvitigala,5,
517,Prasanna Jayawardene,5,/profiles/517/prasanna-jayawardene
1979,Suraj Randiv,5,/profiles/1979/suraj-randiv
7737,Shaminda Eranga,5,
8063,Seekkuge Prasanna,5,
2283,James Pattinson,4,
1739,David Warner,4,
8118,Ben Cutting,4,
205,Daniel Vettori,13,/profiles/205/daniel-vettori
7814,Dean Brownlie,13,/profiles/7814/dean-brownlie
583,Jesse Ryder,13,/profiles/583/jesse-ryder
1457,Martin Guptill,13,/profiles/1457/martin-guptill
420,Chris Martin,13,/profiles/420/chris-martin
1460,Reece Young,13,/profiles/1460/reece-young
201,Brendon McCullum,13,/profiles/201/brendon-mccullum
7622,Doug Bracewell,13,/profiles/7622/doug-bracewell
521,Ross Taylor,13,/profiles/521/ross-taylor
8117,Trent Boult,13,
1459,BJ Watling,13,
8120,Ed Cowan,4,/profiles/8120/ed-cowan
561,Ben Hilfenhaus,4,/profiles/561/ben-hilfenhaus
6283,Daniel Christian,4,
26,Virender Sehwag,2,/profiles/26/virender-sehwag
308,Gautam Gambhir,2,/profiles/308/gautam-gambhir
27,Rahul Dravid,2,/profiles/27/rahul-dravid
25,Sachin Tendulkar,2,/profiles/25/sachin-tendulkar
28,VVS Laxman,2,/profiles/28/vvs-laxman
265,MS Dhoni,2,/profiles/265/ms-dhoni
71,Zaheer Khan,2,/profiles/71/zaheer-khan
702,Ishant Sharma,2,/profiles/702/ishant-sharma
1858,Umesh Yadav,2,/profiles/1858/umesh-yadav
1849,Abhimanyu Mithun,2,
1356,Pragyan Ojha,2,
1447,Ajinkya Rahane,2,
1465,Wriddhiman Saha,2,
1449,Vinay Kumar,2,
8213,Kruger van Wyk,13,
8214,Sam Wells,13,
600,Tino Mawoyo,12,/profiles/600/tino-mawoyo
425,Hamilton Masakadza,12,/profiles/425/hamilton-masakadza
1631,Forster Mutizwa,12,/profiles/1631/forster-mutizwa
180,Brendan Taylor,12,/profiles/180/brendan-taylor
169,Tatenda Taibu,12,/profiles/169/tatenda-taibu
1738,Malcolm Waller,12,/profiles/1738/malcolm-waller
781,Regis Chakabva,12,/profiles/781/regis-chakabva
278,Graeme Cremer,12,/profiles/278/graeme-cremer
1630,Shingirai Masakadza,12,/profiles/1630/shingirai-masakadza
2289,Kyle Jarvis,12,/profiles/2289/kyle-jarvis
8020,Brian Vitori,12,/profiles/8020/brian-vitori
170,Elton Chigumbura,12,
174,Stuart Matsikenyeri,12,
530,Keegan Meth,12,
884,Ray Price,12,
181,Prosper Utseya,12,
1692,Wayne Parnell,11,
318,Robin Peterson,11,
6333,Rob Nicol,13,/profiles/6333/rob-nicol
8215,Andrew Ellis,13,
6281,Brent Arnel,13,
577,Mark Gillespie,13,/profiles/577/mark-gillespie
8217,Tarun Nethula,13,
1061,Daniel Flynn,13,/profiles/1061/daniel-flynn
602,Chamara Silva,5,
167,Sir Andrew Strauss,9,/profiles/167/sir-andrew-strauss
488,Sir Alastair Cook,9,/profiles/488/sir-alastair-cook
395,Kevin Pietersen,9,/profiles/395/kevin-pietersen
385,Ian Bell,9,/profiles/385/ian-bell
4829,Matt Prior,9,/profiles/4829/matt-prior
1414,Samit Patel,9,/profiles/1414/samit-patel
554,Stuart Broad,9,/profiles/554/stuart-broad
814,Graeme Swann,9,/profiles/814/graeme-swann
512,Monty Panesar,9,/profiles/512/monty-panesar
65,James Anderson,9,/profiles/65/james-anderson
571,Ravi Bopara,9,
537,Tim Bresnan,9,
1841,Steven Davies,9,
6317,Steven Finn,9,
1059,James Tredwell,9,
179,Vusi Sibanda,12,/profiles/179/vusi-sibanda
6334,Craig Ervine,12,/profiles/6334/craig-ervine
428,Chris Mpofu,12,/profiles/428/chris-mpofu
612,Tamim Iqbal,6,/profiles/612/tamim-iqbal
1583,Imrul Kayes,6,/profiles/1583/imrul-kayes
393,Shahriar Nafees,6,/profiles/393/shahriar-nafees
118,Mohammad Ashraful,6,/profiles/118/mohammad-ashraful
1121,Mahmudullah,6,/profiles/1121/mahmudullah
127,Abdur Razzak,6,/profiles/127/abdur-razzak
6241,Shafiul Islam,6,/profiles/6241/shafiul-islam
1736,Rubel Hossain,6,/profiles/1736/rubel-hossain
6242,Robiul Islam,6,/profiles/6242/robiul-islam
8018,Nasir Hossain,6,
784,Junaid Siddique,6,
7920,Shuvagata Hom,6,
185,Nazmul Hossain,6,
15535,Hasan Murad,6,
13089,Matthew Breetzke,11,/profiles/13089/matthew-breetzke
9530,Dane Piedt,11,/profiles/9530/dane-piedt
20538,Dewald Brevis,11,
6285,Gregory Lamb,12,/profiles/6285/gregory-lamb
360,Mohammad Hafeez,3,/profiles/360/mohammad-hafeez
80,Taufeeq Umar,3,/profiles/80/taufeeq-umar
6633,Azhar Ali,3,/profiles/6633/azhar-ali
130,Younis Khan,3,/profiles/130/younis-khan
274,Misbah-ul-Haq,3,/profiles/274/misbah-ul-haq
1992,Umar Akmal,3,/profiles/1992/umar-akmal
7735,Adnan Akmal,3,/profiles/7735/adnan-akmal
7900,Junaid Khan,3,/profiles/7900/junaid-khan
1120,Sohail Khan,3,/profiles/1120/sohail-khan
1053,Saeed Ajmal,3,/profiles/1053/saeed-ajmal
8065,Aizaz Cheema,3,/profiles/8065/aizaz-cheema
8066,Rameez Raja,3,
33,Shoaib Malik,3,
859,Sohail Tanvir,3,
6481,Asad Shafiq,3,
129,Imran Farhat,3,
8064,Yasir Shah,3,
12174,Mahidul Islam Ankon,6,/profiles/12174/mahidul-islam-ankon
8115,N Ncube,12,/profiles/8115/n-ncube
8114,Natsai Mushangwe,12,
435,Jeetan Patel,13,/profiles/435/jeetan-patel
6249,Andy McKay,13,
8113,G Aldridge,13,
504,Umar Gul,3,/profiles/504/umar-gul
524,Abdur Rehman,3,
1051,Wahab Riaz,3,
7823,Kosala Kulasekara,5,
11375,Jake Weatherald ,4,/profiles/11375/jake-weatherald
11772,Brendan Doggett,4,/profiles/11772/brendan-doggett
8130,Michael Neser,4,
8383,Mark Wood,9,/profiles/8383/mark-wood
12258,Will Jacks,9,
9392,Matthew Fisher,9,
10280,Jhye Richardson,4,/profiles/10280/jhye-richardson
9592,Joylord Gumbie,12,/profiles/9592/joylord-gumbie
11224,Brandon Mavuta,12,/profiles/11224/brandon-mavuta
23616,Brian Bennett,12,/profiles/23616/brian-bennett
54385,Newman Nyamhuri,12,/profiles/54385/newman-nyamhuri
13316,Blessing Muzarabani,12,/profiles/13316/blessing-muzarabani
19601,Takudzwanashe Kaitano,12,/profiles/19601/takudzwanashe-kaitano
441,Sean Williams,12,/profiles/441/sean-williams
13957,Ben Curran,12,/profiles/13957/ben-curran
13415,Dion Myers,12,/profiles/13415/dion-myers
25037,Trevor Gwandu,12,/profiles/25037/trevor-gwandu
15877,Tadiwanashe Marumani,12,
9354,Sikandar Raza,12,
11229,Richard Ngarava,12,
8462,Nyasha Mayavo,12,
