seriesid,seriesname
1138,England in West Indies Test Series
1139,South Africa in England Test Series
1140,Pakistan in India Test Series
1141,West Indies in Australia
1142,Australia in England, 1961
1143,England in India Test Series
1144,England in Pakistan Test Series
1145,New Zealand in South Africa Test Series
1146,India in West Indies Test Series
1147,Pakistan in England Test Series
1148,England in Australia, 1962-63
1149,England in New Zealand Test Series
1150,West Indies in England
1151,South Africa in Australia Test Series
1152,England in India Test Series
1153,South Africa in New Zealand Test Series
1154,Australia in England, 1964
1155,Australia in India Test Series
1156,Australia in Pakistan Test Match
1157,Pakistan in Australia Test Match
1158,Pakistan in New Zealand Test Series
1159,England in South Africa Test Series
1160,New Zealand in India Test Series
1161,New Zealand in Pakistan Test Series
1162,Australia in West Indies
1163,New Zealand in England Test Series
1164,South Africa in England Test Series
1165,England in Australia, 1965-66
1166,England in New Zealand Test Series
1167,West Indies in England
1168,West Indies in India Test Series, 1966-67
1169,Australia in South Africa Test Series, 1966-67
1170,India in England Test Series, 1967
1171,Pakistan in England Test Series, 1967
1172,India in Australia Test Series, 1967-68
1173,India in New Zealand Test Series, 1968
1174,England in West Indies, 1968
1175,Australia in England, 1968
1176,West Indies in Australia, 1969
1177,England in Pakistan Test Series, 1969
1178,West Indies in New Zealand Test Series, 1969
1179,West Indies in England, 1969
1180,New Zealand in England Test Series, 1969
1181,New Zealand in India Test Series, 1969
1182,New Zealand in Pakistan Test Series, 1969
1183,Australia in India Test Series, 1969
1184,Australia in South Africa Test Series, 1970
1185,England in Australia, 1970-71
1186,England in New Zealand Test Series, 1971
1187,India in West Indies Test Series, 1971
1012,England in Australia Test Series, 1877
1013,England in Australia Test Match, 1879
1014,Australia in England Test Match, 1880
1015,England in Australia Test Series, 1881-82
1016,Australia in England Test Match, 1882
1017,England in Australia, 1882-83
1018,England in Australia Test Match, 1883
1019,Australia in England, 1884
1020,England in Australia, 1884-85
1021,Australia in England, 1886
1022,England in Australia, 1887
1023,England in Australia, 1888
1024,Australia in England, 1888
1025,England in South Africa Test Series
1026,Australia in England, 1890
1027,England in South Africa Test Match
1028,England in Australia, 1892
1029,Australia in England, 1893
1030,England in Australia, 1894-95
1031,England in South Africa Test Series
1032,Australia in England, 1896
1033,England in Australia, 1897-98
1034,England in South Africa Test Series
1035,Australia in England, 1899
1036,England in Australia, 1901-02
1037,Australia in England, 1902
1038,Australia in South Africa Test Series
1039,England in Australia, 1903-04
1040,Australia in England, 1905
1041,England in South Africa Test Series
1042,South Africa in England Test Series
1043,England in Australia, 1907-08
1044,Australia in England, 1909
1045,England in South Africa Test Series
1046,South Africa in Australia Test Series
1047,England in Australia, 1911-12
1052,England in South Africa Test Series
1053,England in Australia, 1920-21
1054,Australia in England, 1921
1055,Australia in South Africa Test Series
1056,England in South Africa Test Series
1057,South Africa in England Test Series
1058,England in Australia, 1924-25
1059,Australia in England, 1926
1060,England in South Africa Test Series
1061,West Indies in England Test Series
1062,England in Australia, 1928-29
7481,Afghanistan tour of Sri Lanka, 2024
7485,Afghanistan v Ireland in UAE, 2024
1063,South Africa in England Test Series
1064,England in New Zealand Test Series
1065,England in West Indies Test Series
1066,Australia in England, 1930
1067,England in South Africa Test Series
1068,West Indies in Australia Test Series
1069,New Zealand in England Test Series
1070,South Africa in Australia Test Series
1071,South Africa in New Zealand Test Series
1072,India in England Test Match
1073,England in Australia, 1932-33
1074,England in New Zealand Test Series
1075,West Indies in England Test Series
1076,England in India Test Series
1077,Australia in England, 1934
1078,England in West Indies Test Series
1079,South Africa in England Test Series
1080,Australia in South Africa Test Series
1081,India in England Test Series
1082,England in Australia, 1936-37
1083,New Zealand in England Test Series
1084,Australia in England, 1938
1085,England in South Africa Test Series
1086,West Indies in England Test Series
1087,Australia in New Zealand Test Match
1088,India in England Test Series
1089,England in Australia, 1946-47
7534,Sri Lanka tour of Bangladesh, 2024
1090,England in New Zealand Test Match
1091,South Africa in England Test Series
1092,India in Australia Test Series
1093,England in West Indies Test Series
1094,Australia in England, 1948
1095,West Indies in India Test Series
1096,England in South Africa Test Series
1097,New Zealand in England Test Series
1098,Australia in South Africa Test Series
1099,West Indies in England Test Series
1100,England in Australia, 1950-51
1101,England in New Zealand Test Series
1048,Australia v South Africa Test Series
1049,South Africa in England Test Series
1050,Australia in England, 1912
7745,India tour of Australia, 2024-25
7853,England tour of New Zealand, 2024
7979,Zimbabwe tour of Ireland, 2024
8044,Pakistan tour of South Africa, 2024 -25
8058,Sri Lanka tour of South Africa, 2024
8116,Bangladesh tour of West Indies, 2024
1627,Sri Lanka in England, 2011
1628,India in England, 2011
1631,Pakistan in New Zealand, 2010-11
8238,South Africa tour of West Indies, 2024
1637,West Indies in Sri Lanka, 2010
1644,Pakistan in West Indies, 2011
1645,India in West Indies, 2011
