innings_player,innings_runs_scored,innings_runs_scored_num,innings_minutes_batted,innings_batted_flag,innings_not_out_flag,innings_balls_faced,innings_boundary_fours,innings_boundary_sixes,innings_batting_strike_rate,innings_number,opposition,ground,innings_date,country,50s,100s,innings_runs_scored_buckets,innings_overs_bowled,innings_bowled_flag,innings_maidens_bowled,innings_runs_conceded,innings_wickets_taken,4_wickets,5_wickets,10_wickets,innings_wickets_taken_buckets,innings_economy_rate
SC Taylor,76*,76,66,1,1,53,8,0,143.39,2,v AUS Women,The Oval,2009-06-19,England Women,1,0,50-99,,,,,,,,,,
SC Taylor,75*,75,70,1,1,54,11,0,138.88,1,v SL Women,Taunton,2009-06-14,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,75*,75,70,1,1,61,11,0,122.95,1,v SA Women,Northampton,2014-09-03,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,74*,74,63,1,1,51,11,0,145.09,1,v SA Women,Paarl,2016-02-18,England Women,1,0,50-99,,,,,,,,,,
L Winfield,74,74,59,1,0,60,9,1,123.33,1,v SA Women,Birmingham,2014-09-07,England Women,1,0,50-99,,,,,,,,,,
L Winfield,74,74,75,1,0,45,10,1,164.44,1,v PAK Women,Bristol,2016-07-03,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,73,73,78,1,0,66,6,0,110.60,2,v NZ Women,Southampton,2010-07-01,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,72*,72,77,1,1,61,8,0,118.03,1,v Ire Women,Loughborough,2012-06-23,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,71,71,73,1,0,59,8,0,120.33,1,v SA Women,Taunton,2018-06-23,England Women,1,0,50-99,,,,,,,,,,
JL Gunn,69,69,44,1,0,46,4,3,150.00,1,v SL Women,Colombo (NCC),2010-11-22,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,69,69,61,1,0,49,10,0,140.81,1,v India Women,Canterbury,2012-06-26,England Women,1,0,50-99,,,,,,,,,,
NR Sciver,68*,68,,1,1,43,10,2,158.13,2,v AUS Women,Mumbai (BS),2018-03-23,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,67*,67,52,1,1,48,9,0,139.58,2,v India Women,Chelmsford,2012-06-28,England Women,1,0,50-99,,,,,,,,,,
SC Taylor,66,66,57,1,0,46,8,0,143.47,1,v India Women,Taunton,2011-06-26,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,66,66,66,1,0,52,8,0,126.92,1,v SA Women,Cape Town,2016-02-19,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,65*,65,64,1,1,53,8,0,122.64,2,v AUS Women,Galle,2012-10-01,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,64*,64,,1,1,55,6,0,116.36,2,v India Women,Guwahati,2019-03-07,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,64,64,35,1,0,36,10,2,177.77,1,v SA Women,Taunton,2007-08-10,England Women,1,0,50-99,,,,,,,,,,
L Winfield,63,63,47,1,0,40,9,1,157.50,1,v PAK Women,Chelmsford,2016-07-07,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,62*,62,48,1,1,54,10,0,114.81,2,v SA Women,Chelmsford,2014-09-01,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,62,62,,1,0,57,9,0,108.77,1,v India Women,Guwahati,2019-03-04,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,61*,61,51,1,1,53,6,2,115.09,2,v India Women,Taunton,2009-06-11,England Women,1,0,50-99,,,,,,,,,,
LS Greenway,61*,61,55,1,1,45,7,0,135.55,1,v WI Women,Hove,2012-09-15,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,60,60,40,1,0,51,11,0,117.64,1,v NZ Women,Bath,2007-08-12,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,60,60,49,1,0,40,10,0,150.00,2,v SA Women,Johannesburg,2016-02-21,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,60,60,68,1,0,51,7,0,117.64,1,v Bdesh Wmn,Bengaluru,2016-03-17,England Women,1,0,50-99,,,,,,,,,,
NR Sciver,59,59,46,1,0,37,7,0,159.45,1,v NZ Women,Taunton,2018-06-23,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,58*,58,,1,1,44,8,0,131.81,2,v AUS Women,Mumbai (BS),2018-03-23,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,57,57,59,1,0,50,3,1,114.00,1,v PAK Women,Loughborough,2013-07-05,England Women,1,0,50-99,,,,,,,,,,
AE Jones,57,57,,1,0,38,6,2,150.00,1,v SL Women,Colombo (PSS),2019-03-28,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,56,56,54,1,0,36,9,0,155.55,1,v SA Women,Taunton,2018-06-20,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,55,55,60,1,0,47,4,1,117.02,1,v PAK Women,Chelmsford,2016-07-07,England Women,1,0,50-99,,,,,,,,,,
LA Marsh,54,54,50,1,0,41,7,2,131.70,1,v PAK Women,Galle,2012-09-27,England Women,1,0,50-99,,,,,,,,,,
AE Jones,53*,53,,1,1,47,3,1,112.76,2,v India Women,North Sound,2018-11-22,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,53,53,41,1,0,37,7,0,143.24,1,v WI Women,Manchester,2012-09-10,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,52*,52,61,1,1,50,5,1,104.00,2,v NZ Women,Bath,2007-08-13,England Women,1,0,50-99,,,,,,,,,,
NR Sciver,52*,52,,1,1,38,5,0,136.84,2,v India Women,North Sound,2018-11-22,England Women,1,0,50-99,,,,,,,,,,
HC Knight,51,51,,1,0,37,3,1,137.83,2,v AUS Women,Canberra,2017-11-21,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,51,51,41,1,0,37,7,0,137.83,2,v NZ Women,Bristol,2018-06-28,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,51,51,,1,0,33,6,1,154.54,1,v SL Women,Colombo (PSS),2019-03-28,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,50*,50,51,1,1,41,7,0,121.95,2,v India Women,Taunton,2009-06-11,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,50*,50,62,1,1,53,6,0,94.33,2,v India Women,Galle,2012-09-29,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,50*,50,37,1,1,37,4,0,135.13,2,v AUS Women,Hobart,2014-01-29,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,50*,50,,1,1,43,6,0,116.27,2,v SL Women,Colombo (PSS),2019-03-24,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,50,50,42,1,0,33,9,0,151.51,2,v SA Women,Potchefstroom,2011-10-27,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,50,50,51,1,0,43,4,0,116.27,2,v AUS Women,Chelmsford,2015-08-26,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,50,50,,1,0,36,6,0,138.88,1,v AUS Women,Sydney,2017-11-17,England Women,1,0,50-99,,,,,,,,,,
NR Sciver,50,50,,1,0,42,5,0,119.04,2,v AUS Women,Mumbai (BS),2018-03-31,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,50,50,33,1,0,35,8,1,142.85,2,v NZ Women,Chelmsford,2018-07-01,England Women,1,0,50-99,,,,,,,,,,
NR Sciver,49*,49,,1,1,24,10,0,204.16,1,v SL Women,Colombo (PSS),2019-03-28,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,49,49,56,1,0,46,5,1,106.52,2,v SA Women,Potchefstroom,2011-10-27,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,48*,48,58,1,1,50,3,0,96.00,2,v SL Women,Colombo (NCC),2010-11-19,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,48,48,57,1,0,36,5,0,133.33,1,v AUS Women,Southampton,2011-06-27,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,48,48,30,1,0,29,11,0,165.51,1,v NZ Women,Hamilton,2012-02-19,England Women,0,0,0-49,,,,,,,,,,
L Winfield,48,48,62,1,0,59,5,0,81.35,1,v NZ Women,Whangarei,2015-02-20,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,47,47,62,1,0,44,2,1,106.81,2,v AUS Women,Cardiff,2015-08-31,England Women,0,0,0-49,,,,,,,,,,
BL Morgan,46*,46,48,1,1,34,5,0,135.29,2,v AUS Women,The Oval,2009-06-19,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,46*,46,,1,1,53,5,0,86.79,2,v India Women,Mumbai,2010-03-08,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,46,46,46,1,0,44,7,0,104.54,1,v AUS Women,Basseterre,2010-05-05,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,46,46,68,1,0,50,4,0,92.00,1,v NZ Women,Chelmsford,2010-06-29,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,46,46,37,1,0,33,7,0,139.39,1,v PAK Women,Loughborough,2013-07-05,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,45,45,34,1,0,34,9,0,132.35,1,v SA Women,Northampton,2008-08-22,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,45,45,,1,0,44,4,0,102.27,2,v AUS Women,Canberra,2011-01-16,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,45,45,44,1,0,33,6,0,136.36,1,v NZ Women,Hamilton,2012-02-19,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,45,45,58,1,0,43,5,0,104.65,1,v PAK Women,Galle,2012-09-27,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,44*,44,58,1,1,45,3,0,97.77,2,v SA Women,Dhaka,2014-04-04,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,44,44,67,1,0,39,7,0,112.82,2,v WI Women,Sylhet,2014-03-24,England Women,0,0,0-49,,,,,,,,,,
FC Wilson,43*,43,41,1,1,39,3,0,110.25,1,v PAK Women,Southampton,2016-07-05,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,43,43,36,1,0,33,4,0,130.30,2,v NZ Women,Hove,2004-08-05,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,43,43,47,1,0,33,5,1,130.30,1,v NZ Women,Bath,2007-08-12,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,43,43,45,1,0,32,4,1,134.37,1,v PAK Women,Taunton,2009-06-16,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,43,43,,1,0,28,5,0,153.57,1,v AUS Women,Canberra,2011-01-17,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,43,43,43,1,0,43,2,0,100.00,1,v AUS Women,Bristol,2011-06-25,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,43,43,50,1,0,36,5,0,119.44,1,v WI Women,Hove,2012-09-15,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,43,43,,1,0,37,5,1,116.21,1,v AUS Women,North Sound,2018-11-24,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,43,43,45,1,0,39,4,0,110.25,1,v AUS Women,Hove,2019-07-28,England Women,0,0,0-49,,,,,,,,,,
A Brindle,42*,42,48,1,1,41,1,0,102.43,1,v WI Women,Manchester,2012-09-10,England Women,0,0,0-49,,,,,,,,,,
KH Brunt,42*,42,18,1,1,16,3,3,262.50,1,v SA Women,Taunton,2018-06-20,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,42*,42,,1,1,25,4,0,168.00,1,v SL Women,Colombo (PSS),2019-03-28,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,42,42,33,1,0,32,9,0,131.25,1,v AUS Women,Taunton,2005-09-02,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,42,42,73,1,0,56,2,0,75.00,2,v NZ Women,Bridgetown,2013-10-16,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,41,41,43,1,0,44,4,0,93.18,1,v WI Women,Basseterre,2009-11-10,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,41,41,59,1,0,39,4,0,105.12,1,v India Women,Canterbury,2012-06-26,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,41,41,37,1,0,29,5,0,141.37,1,v PAK Women,Loughborough,2012-09-05,England Women,0,0,0-49,,,,,,,,,,
BL Morgan,40*,40,24,1,1,22,3,1,181.81,1,v SA Women,Taunton,2007-08-10,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,40*,40,48,1,1,36,5,0,111.11,2,v NZ Women,Chelmsford,2011-06-23,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,40,40,,1,0,32,3,0,125.00,1,v AUS Women,Canberra,2017-11-19,England Women,0,0,0-49,,,,,,,,,,
HC Knight,40,40,,1,0,20,7,0,200.00,1,v India Women,Guwahati,2019-03-04,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,39*,39,47,1,1,32,4,0,121.87,2,v NZ Women,Lord's,2009-06-21,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,39*,39,,1,1,27,4,1,144.44,2,v AUS Women,Adelaide,2011-01-12,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,39*,39,44,1,1,31,5,0,125.80,2,v NZ Women,Bristol,2018-06-28,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,39,39,51,1,0,28,5,0,139.28,2,v SA Women,Potchefstroom,2011-10-30,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,39,39,43,1,0,35,5,1,111.42,2,v India Women,Galle,2012-09-29,England Women,0,0,0-49,,,,,,,,,,
A Brindle,39,39,32,1,0,27,3,1,144.44,2,v PAK Women,Loughborough,2013-07-05,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,39,39,46,1,0,40,4,0,97.50,2,v WI Women,Bridgetown,2013-10-18,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,39,39,50,1,0,42,3,0,92.85,2,v AUS Women,Chelmsford,2015-08-26,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,38*,38,27,1,1,23,4,1,165.21,1,v NZ Women,Bath,2007-08-12,England Women,0,0,0-49,,,,,,,,,,
JL Gunn,38,38,56,1,0,52,2,0,73.07,1,v India Women,Derby,2006-08-05,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,37*,37,51,1,1,44,1,0,84.09,2,v AUS Women,Chester-le-Street,2013-08-31,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,37,37,,1,0,28,7,0,132.14,2,v AUS Women,Canberra,2011-01-18,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,37,37,66,1,0,37,2,0,100.00,1,v NZ Women,Bridgetown,2013-10-22,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,37,37,33,1,0,26,5,1,142.30,1,v PAK Women,Chennai,2016-03-27,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,37,37,,1,0,25,3,1,148.00,2,v SL Women,Colombo (PSS),2019-03-26,England Women,0,0,0-49,,,,,,,,,,
AE Jones,37,37,35,1,0,27,4,1,137.03,1,v WI Women,Northampton,2019-06-21,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,36*,36,35,1,1,33,1,1,109.09,1,v WI Women,Bridgetown,2013-10-26,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,36,36,47,1,0,32,0,0,112.50,1,v SA Women,Taunton,2007-08-10,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,36,36,,1,0,30,5,0,120.00,2,v AUS Women,Canberra,2011-01-16,England Women,0,0,0-49,,,,,,,,,,
L Winfield,36,36,36,1,0,25,3,1,144.00,2,v WI Women,Bridgetown,2013-10-18,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,36,36,37,1,0,27,4,0,133.33,2,v WI Women,Bridgetown,2013-10-24,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,36,36,30,1,0,34,4,0,105.88,2,v SL Women,Sylhet,2014-03-30,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,36,36,37,1,0,40,5,0,90.00,2,v SA Women,Dhaka,2014-04-04,England Women,0,0,0-49,,,,,,,,,,
AE Jones,36,36,,1,0,24,6,0,150.00,2,v SL Women,Colombo (PSS),2019-03-26,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,35*,35,58,1,1,34,4,0,102.94,2,v AUS Women,Chester-le-Street,2013-08-31,England Women,0,0,0-49,,,,,,,,,,
HC Knight,35*,35,26,1,1,20,6,0,175.00,1,v SA Women,Taunton,2018-06-23,England Women,0,0,0-49,,,,,,,,,,
JL Gunn,35,35,32,1,0,26,6,0,134.61,2,v WI Women,Basseterre,2009-11-12,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,35,35,24,1,0,17,6,0,205.88,1,v PAK Women,Loughborough,2012-09-05,England Women,0,0,0-49,,,,,,,,,,
KH Brunt,35,35,30,1,0,31,1,0,112.90,1,v WI Women,Arundel,2012-09-16,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,35,35,,1,0,23,3,1,152.17,2,v India Women,Mumbai (BS),2018-03-25,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,35,35,45,1,0,33,5,0,106.06,2,v NZ Women,Chelmsford,2018-07-01,England Women,0,0,0-49,,,,,,,,,,
SIR Dunkley,35,35,,1,0,30,3,1,116.66,1,v WI Women,Gros Islet,2018-11-18,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,35,35,,1,0,34,5,0,102.94,1,v India Women,Guwahati,2019-03-04,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,34*,34,33,1,1,22,2,1,154.54,1,v SA Women,Basseterre,2010-05-09,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,34,34,34,1,0,41,4,0,82.92,2,v NZ Women,Hove,2004-08-05,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,34,34,45,1,0,32,2,0,106.25,2,v AUS Women,Melbourne,2008-02-01,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,34,34,30,1,0,34,3,0,100.00,1,v WI Women,Basseterre,2009-11-09,England Women,0,0,0-49,,,,,,,,,,
JL Gunn,34,34,,1,0,24,1,1,141.66,2,v India Women,Mumbai,2010-03-04,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,34,34,36,1,0,32,5,0,106.25,1,v NZ Women,Chelmsford,2010-06-29,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,34,34,42,1,0,30,4,0,113.33,1,v WI Women,Arundel,2012-09-16,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,34,34,32,1,0,22,6,0,154.54,1,v SA Women,Cape Town,2016-02-19,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,34,34,,1,0,17,7,0,200.00,2,v AUS Women,Mumbai (BS),2018-03-31,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,33*,33,23,1,1,22,3,0,150.00,1,v SA Women,Northampton,2008-08-23,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,33*,33,23,1,1,17,6,0,194.11,2,v AUS Women,Galle,2012-10-01,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,33,33,32,1,0,25,3,1,132.00,2,v WI Women,Basseterre,2010-05-07,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,33,33,34,1,0,32,2,1,103.12,1,v SA Women,Basseterre,2010-05-09,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,33,33,34,1,0,26,3,2,126.92,1,v NZ Women,Hamilton,2012-02-19,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,33,33,38,1,0,37,5,0,89.18,2,v NZ Women,Colombo (RPS),2012-10-04,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,33,33,29,1,0,15,3,2,220.00,1,v SA Women,Taunton,2018-06-20,England Women,0,0,0-49,,,,,,,,,,
L Winfield,33,33,32,1,0,27,4,0,122.22,2,v AUS Women,Chelmsford,2019-07-26,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,32*,32,,1,1,27,2,0,118.51,2,v AUS Women,Canberra,2011-01-18,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,32*,32,41,1,1,34,5,0,94.11,2,v NZ Women,Whangarei,2015-02-19,England Women,0,0,0-49,,,,,,,,,,
KH Brunt,32*,32,,1,1,24,2,2,133.33,1,v AUS Women,Canberra,2017-11-19,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,32,32,54,1,0,40,1,1,80.00,2,v AUS Women,Delhi,2016-03-30,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,31*,31,49,1,1,35,2,0,88.57,2,v SA Women,Potchefstroom,2011-10-30,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,31*,31,51,1,1,34,4,0,91.17,2,v NZ Women,Wellington,2012-02-17,England Women,0,0,0-49,,,,,,,,,,
A Brindle,31*,31,44,1,1,42,2,0,73.80,2,v PAK Women,Loughborough,2012-09-04,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,31,31,40,1,0,32,5,0,96.87,1,v SA Women,Northampton,2008-08-23,England Women,0,0,0-49,,,,,,,,,,
SC Taylor,31,31,33,1,0,23,4,0,134.78,2,v AUS Women,Derby,2009-06-25,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,31,31,31,1,0,32,4,0,96.87,2,v WI Women,Basseterre,2010-05-07,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,31,31,42,1,0,25,4,0,124.00,2,v PAK Women,Loughborough,2012-09-04,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,31,31,28,1,0,22,5,0,140.90,2,v WI Women,Chester-le-Street,2012-09-08,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,31,31,31,1,0,23,5,1,134.78,2,v WI Women,Dharamsala,2016-03-24,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,31,31,39,1,0,29,4,0,106.89,2,v AUS Women,Delhi,2016-03-30,England Women,0,0,0-49,,,,,,,,,,
DN Wyatt,31,31,,1,0,22,4,1,140.90,1,v India Women,Mumbai (BS),2018-03-29,England Women,0,0,0-49,,,,,,,,,,
NR Sciver,31,31,25,1,0,19,4,0,163.15,1,v WI Women,Northampton,2019-06-21,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,30*,30,,1,1,30,1,0,100.00,2,v AUS Women,Melbourne,2011-01-14,England Women,0,0,0-49,,,,,,,,,,
JL Gunn,30*,30,23,1,1,26,1,1,115.38,1,v NZ Women,Auckland,2012-02-22,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,30*,30,40,1,1,31,2,0,96.77,2,v India Women,Chelmsford,2012-06-28,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,30,30,27,1,0,26,3,0,115.38,1,v SL Women,Colombo (NCC),2010-11-22,England Women,0,0,0-49,,,,,,,,,,
HC Knight,30,30,11,1,0,15,2,1,200.00,1,v NZ Women,Whangarei,2015-02-20,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,30,30,36,1,0,29,5,0,103.44,2,v WI Women,Dharamsala,2016-03-24,England Women,0,0,0-49,,,,,,,,,,
SJ Taylor,30,30,,1,0,23,4,0,130.43,1,v AUS Women,Canberra,2017-11-19,England Women,0,0,0-49,,,,,,,,,,
AE Jones,30,30,,1,0,28,2,0,107.14,2,v AUS Women,Mumbai (BS),2018-03-31,England Women,0,0,0-49,,,,,,,,,,
SE Rowe,29*,29,16,1,1,15,2,2,193.33,1,v PAK Women,Loughborough,2012-09-05,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,29*,29,34,1,1,23,2,1,126.08,2,v NZ Women,Bridgetown,2013-10-16,England Women,0,0,0-49,,,,,,,,,,
KH Brunt,29*,29,33,1,1,22,3,0,131.81,2,v AUS Women,Chelmsford,2019-07-26,England Women,0,0,0-49,,,,,,,,,,
JL Gunn,29,29,32,1,0,32,4,0,90.62,2,v NZ Women,Taunton,2007-08-16,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,29,29,34,1,0,23,2,0,126.08,2,v NZ Women,Taunton,2007-08-16,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,29,29,20,1,0,20,3,0,145.00,2,v WI Women,Basseterre,2009-11-12,England Women,0,0,0-49,,,,,,,,,,
LS Greenway,29,29,,1,0,35,2,0,82.85,2,v India Women,Mumbai,2010-03-06,England Women,0,0,0-49,,,,,,,,,,
LA Marsh,29,29,37,1,0,25,3,0,116.00,2,v SL Women,Colombo (NCC),2010-11-19,England Women,0,0,0-49,,,,,,,,,,
A Brindle,29,29,24,1,0,23,3,0,126.08,1,v Ire Women,Loughborough,2012-06-23,England Women,0,0,0-49,,,,,,,,,,
HC Knight,29,29,31,1,0,24,3,0,120.83,1,v AUS Women,Dhaka,2014-04-06,England Women,0,0,0-49,,,,,,,,,,
HC Knight,29,29,25,1,0,20,2,1,145.00,1,v SA Women,Cape Town,2016-02-19,England Women,0,0,0-49,,,,,,,,,,
L Winfield,29,29,24,1,0,16,5,0,181.25,1,v PAK Women,Southampton,2016-07-05,England Women,0,0,0-49,,,,,,,,,,
A Shrubsole,29,29,,1,0,26,2,1,111.53,1,v WI Women,Gros Islet,2018-11-18,England Women,0,0,0-49,,,,,,,,,,
L Winfield,29,29,,1,0,23,4,0,126.08,2,v India Women,Guwahati,2019-03-07,England Women,0,0,0-49,,,,,,,,,,
TT Beaumont,29,29,,1,0,27,3,1,107.40,1,v India Women,Guwahati,2019-03-09,England Women,0,0,0-49,,,,,,,,,,
AE Jones,28*,28,,1,1,24,2,0,116.66,2,v Bdesh Wmn,Gros Islet,2018-11-12,England Women,0,0,0-49,,,,,,,,,,
CM Edwards,28,28,,1,0,32,3,0,87.50,2,v India Women,Mumbai,2010-03-04,England Women,0,0,0-49,,,,,,,,,,
BL Morgan,28,28,,1,0,21,4,0,133.33,2,v India Women,Mumbai,2010-03-08,England Women,0,0,0-49,,,,,,,,,,
