innings_player,innings_runs_scored,innings_runs_scored_num,innings_minutes_batted,innings_batted_flag,innings_not_out_flag,innings_balls_faced,innings_boundary_fours,innings_boundary_sixes,innings_batting_strike_rate,innings_number,opposition,ground,innings_date,country,50s,100s,innings_runs_scored_buckets,innings_overs_bowled,innings_bowled_flag,innings_maidens_bowled,innings_runs_conceded,innings_wickets_taken,4_wickets,5_wickets,10_wickets,innings_wickets_taken_buckets,innings_economy_rate
DN Wyatt,124,124,,1,0,64,15,5,193.75,2,v India Women,Mumbai (BS),2018-03-25,England Women,0,1,100-149,,,,,,,,,,
TT Beaumont,116,116,63,1,0,52,18,4,223.07,1,v SA Women,Taunton,2018-06-20,England Women,0,1,100-149,,,,,,,,,,
DN Wyatt,100,100,,1,0,57,13,2,175.43,2,v AUS Women,Canberra,2017-11-21,England Women,0,1,100-149,,,,,,,,,,
CM Edwards,92*,92,66,1,1,59,13,1,155.93,2,v AUS Women,Hobart,2014-01-29,England Women,1,0,50-99,,,,,,,,,,
TT Beaumont,82,82,65,1,0,53,10,2,154.71,1,v PAK Women,Bristol,2016-07-03,England Women,1,0,50-99,,,,,,,,,,
DN Wyatt,81,81,83,1,0,55,10,0,147.27,1,v WI Women,Northampton,2019-06-21,England Women,1,0,50-99,,,,,,,,,,
LS Greenway,80*,80,71,1,1,64,11,0,125.00,2,v AUS Women,Southampton,2013-08-29,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,80,80,70,1,0,69,11,0,115.94,1,v Bdesh Wmn,Sylhet,2014-03-28,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,77*,77,72,1,1,61,10,0,126.22,1,v PAK Women,Chennai,2016-03-27,England Women,1,0,50-99,,,,,,,,,,
SJ Taylor,77,77,57,1,0,58,6,0,132.75,1,v AUS Women,Chelmsford,2013-08-27,England Women,1,0,50-99,,,,,,,,,,
CM Edwards,76*,76,71,1,1,66,7,0,115.15,1,v SA Women,Northampton,2008-08-23,England Women,1,0,50-99,,,,,,,,,,
